Cd,T1_Re0.600_M0.00_N9.0, , 
  0.009460074,    -0.5352747, , 
  0.009384157,    -0.5249153, , 
  0.009253709,    -0.5141069, , 
  0.009156139,     -0.501986, , 
  0.009040808,    -0.4898124, , 
  0.008933473,    -0.4773951, , 
   0.00884424,    -0.4655293, , 
  0.008745008,    -0.4562113, , 
  0.008671874,    -0.4454268, , 
  0.008562828,    -0.4345246, , 
  0.008476144,    -0.4229589, , 
  0.008400402,    -0.4127925, , 
  0.008313772,    -0.4028839, , 
  0.008253056,     -0.392041, , 
  0.008154231,    -0.3814148, , 
  0.008091034,    -0.3709424, , 
  0.008022543,    -0.3607132, , 
  0.007946129,    -0.3503021, , 
  0.007818437,    -0.3292301, , 
  0.007765262,     -0.318695, , 
  0.007706053,    -0.3081544, , 
  0.007647546,    -0.2976293, , 
  0.007541738,    -0.2766157, , 
  0.007454269,    -0.2553345, , 
  0.007406463,    -0.2448331, , 
  0.007326741,    -0.2236019, , 
  0.007297867,    -0.2128883, , 
  0.007225872,    -0.1917158, , 
  0.007175932,    -0.1705142, , 
  0.007148675,     -0.159694, , 
  0.007125621,     -0.149137, , 
  0.007102273,    -0.1385542, , 
  0.007065417,    -0.1172899, , 
  0.007050393,    -0.1064837, , 
  0.007032765,   -0.09585362, , 
  0.007025245,   -0.08535492, , 
  0.006997907,   -0.06401064, , 
  0.006994916,   -0.05325133, , 
  0.006983207,   -0.04255626, , 
  0.006971606,   -0.01073085, , 
  0.006977039,    1.45392e-9, , 
  0.006971604,    0.01073087, , 
  0.006983198,    0.04255677, , 
  0.006994908,    0.05325197, , 
  0.006997897,    0.06401154, , 
  0.007025234,    0.08535654, , 
  0.007032751,    0.09585564, , 
  0.007050379,     0.1064862, , 
  0.007065402,     0.1172929, , 
  0.007102257,     0.1385584, , 
  0.007125605,     0.1491418, , 
  0.007148657,     0.1596995, , 
  0.007175914,     0.1705205, , 
  0.007225852,     0.1917236, , 
  0.007297843,     0.2128979, , 
  0.007326722,     0.2236123, , 
  0.007406441,     0.2448452, , 
  0.007454254,     0.2553475, , 
  0.007541717,     0.2766306, , 
  0.007647517,     0.2976464, , 
   0.00770605,     0.3081722, , 
  0.007765222,     0.3187136, , 
  0.007818407,     0.3292496, , 
  0.007946075,     0.3503231, , 
  0.008022504,     0.3607346, , 
  0.008090969,     0.3709655, , 
  0.008154179,     0.3814382, , 
  0.008252939,     0.3920643, , 
  0.008313653,     0.4029067, , 
  0.008400302,     0.4128161, , 
  0.008475998,     0.4229848, , 
  0.008562678,      0.434548, , 
  0.008671644,     0.4454491, , 
  0.008744755,     0.4562317, , 
  0.008843991,     0.4655484, , 
  0.008933182,     0.4774214, , 
  0.009040494,     0.4898355, , 
  0.009155724,     0.5020066, , 
  0.009253248,     0.5141225, , 
  0.009383583,     0.5249207, , 
  0.009459566,     0.5353092, , 
   0.00959479,     0.5492395, , 
  0.009707555,     0.5635637, , 
   0.00983987,     0.5777215, , 
  0.009966306,     0.5917983, , 
   0.01009042,      0.605863, , 
   0.01023338,     0.6198353, , 
   0.01034817,     0.6336973, , 
   0.01060519,      0.658637, , 
